"ticket_no","name","ticket_title","description_plain","comments","solution"
T014521,,Master fingure not accepted,"Hi Team After installation We are facing the issue ofaster not accepting, resulting the machine as IDEAL. Please support as system is still. Not handover to user Thanks and Regards Avinash Patil 8959907439 U I Engineering From: Avinash Patil/ENG-IV/INDORE <Avinash.Patil@Cipla.com> Sent: Tuesday, May 28, 2024 4:14:00 pm To: aditya@spectra-vision.com <aditya@spectra-vision.com> Cc: support@spectra-vision.com <support@spectra-vision.com>; Ankit Malviya2/ENGG-I/INDORE <ankit.malviya2@Cipla.com> Subject: Final Priced offer for Required for the QA ,QC and Micro area as a standalone system-IFFS2290 Hi Aditya WE have installed the SPECTRA MAKE Biometric access control ,we have observed that the time is fast .please do the needful Thanks and Regards Avinash Patil Engineering 8959907439 From: aditya@spectra-vision.com <aditya@spectra-vision.com> Sent: Thursday, August 3, 2023 9:10 PM To: Manasi Nasikkar/PURCHASE/BCTHO <Manasi.Nasikkar@Cipla.com> Cc: 'Akash Gupta' <akash@spectra-vision.com>; Avinash Patil/ENG-IV/INDORE <Avinash.Patil@Cipla.com>; Lalit Pitamber Mahajan/PURCHASE/RPLAZA <Lalit.Mahajan@Cipla.com>; 'Pradnya Kakaye' <pradnya@spectra-vision.com> Subject: RE: Final Priced offer for Required for the QA ,QC and Micro area as a standalone system-IFFS2290 This message is from an EXTERNAL SENDER - be CAUTIOUS, particularly with links and attachments. Dear Manasi Ma’am, Kindly help us with the PO at earliest. Best","As discussed over the phone with client, device is currently in standalone mode. After consulting with our Hardware team, they have advised that the only solution is to reboot the device. Please note that this process will result in the loss of all data on the device.

If client agree to proceed with this solution, we can take the necessary steps.","As discussed over the phone with client, device is currently in standalone mode. After consulting with our Hardware team, they have advised that the only solution is to reboot the device. Please note that this process will result in the loss of all data on the device. client was not agree with this."
T014521,,Master fingure not accepted,"Hi Team After installation We are facing the issue ofaster not accepting, resulting the machine as IDEAL. Please support as system is still. Not handover to user Thanks and Regards Avinash Patil 8959907439 U I Engineering From: Avinash Patil/ENG-IV/INDORE <Avinash.Patil@Cipla.com> Sent: Tuesday, May 28, 2024 4:14:00 pm To: aditya@spectra-vision.com <aditya@spectra-vision.com> Cc: support@spectra-vision.com <support@spectra-vision.com>; Ankit Malviya2/ENGG-I/INDORE <ankit.malviya2@Cipla.com> Subject: Final Priced offer for Required for the QA ,QC and Micro area as a standalone system-IFFS2290 Hi Aditya WE have installed the SPECTRA MAKE Biometric access control ,we have observed that the time is fast .please do the needful Thanks and Regards Avinash Patil Engineering 8959907439 From: aditya@spectra-vision.com <aditya@spectra-vision.com> Sent: Thursday, August 3, 2023 9:10 PM To: Manasi Nasikkar/PURCHASE/BCTHO <Manasi.Nasikkar@Cipla.com> Cc: 'Akash Gupta' <akash@spectra-vision.com>; Avinash Patil/ENG-IV/INDORE <Avinash.Patil@Cipla.com>; Lalit Pitamber Mahajan/PURCHASE/RPLAZA <Lalit.Mahajan@Cipla.com>; 'Pradnya Kakaye' <pradnya@spectra-vision.com> Subject: RE: Final Priced offer for Required for the QA ,QC and Micro area as a standalone system-IFFS2290 This message is from an EXTERNAL SENDER - be CAUTIOUS, particularly with links and attachments. Dear Manasi Ma’am, Kindly help us with the PO at earliest. Best","As discussed over the phone with client, device is currently in standalone mode. After consulting with our Hardware team, they have advised that the only solution is to reboot the device. Please note that this process will result in the loss of all data on the device. If client agree to proceed with this solution, we can take the necessary steps.","As discussed over the phone with client, device is currently in standalone mode. After consulting with our Hardware team, they have advised that the only solution is to reboot the device. Please note that this process will result in the loss of all data on the device. client was not agree with this."
T014523,iApp,Report generating issue,old reports are not getting and new transaction reports format has changed but we need transaction view like in reports in previous format,We conduct the remote session and design the report as per the client requirement.,We conduct the remote session and design the report as per the client requirement.
T014524,Biot Device,access report ,access report,Issue resolved,Issue resolved
T014525,iApp,When they submit invitation code at that time they getting an error,When they submit invitation code at that time they getting an error,"we will connect today 3.00 pm by the remote access.
Mail send","As per today discussion with Mr.Shahbuddin Ansari, this concern related to Xavient client not THE ZURI WHITE SANDS AND RESORT client, kindly send proper details related mail to shreya@spectra-vision.com"
T014525,iApp,When they submit invitation code at that time they getting an error,When they submit invitation code at that time they getting an error,we will connect today 3.00 pm by the remote access. Mail send,"As per today discussion with Mr.Shahbuddin Ansari, this concern related to Xavient client not THE ZURI WHITE SANDS AND RESORT client, kindly send proper details related mail to shreya@spectra-vision.com"
T014525,iApp,When they submit invitation code at that time they getting an error,When they submit invitation code at that time they getting an error,"As per today discussion with Mr.Shahbuddin Ansari, this concern related to Xavient client not THE ZURI WHITE SANDS AND RESORT  client, kindly send proper details related mail to shreya@spectra-vision.com
","As per today discussion with Mr.Shahbuddin Ansari, this concern related to Xavient client not THE ZURI WHITE SANDS AND RESORT client, kindly send proper details related mail to shreya@spectra-vision.com"
T014526,Biot Device,WIFI issue,device not live,"Sir to re-connect wifi Process below mentioned steps: 
go to ""Device Management"" then > ""Devices"" then > click on mac id or beside red dot  then> click on change ssid password then > enter wifi details along with password
Wifi details update:
	After remotely seeing the system, I have instructed to enter details to client in the app by change ssid and password to change router details and set the router ID password. I supported to configure the Wi-Fi frequency to 2.4 GHz from 5GHz. After then that I have instructed the client to connect to the Wi-Fi using the biot application. The client filled in the necessary details, and the Wi-Fi connected successfully with the device. Additionally, I provided guidance on how to reconnect if the Wi-Fi gets disconnected.","Sir to re-connect wifi Process below mentioned steps: 
go to ""Device Management"" then > ""Devices"" then > click on mac id or beside red dot  then> click on change ssid password then > enter wifi details along with password
Wifi details update:
	After remotely seeing the system, I have instructed to enter details to client in the app by change ssid and password to change router details and set the router ID password. I supported to configure the Wi-Fi frequency to 2.4 GHz from 5GHz. After then that I have instructed the client to connect to the Wi-Fi using the biot application. The client filled in the necessary details, and the Wi-Fi connected successfully with the device. Additionally, I provided guidance on how to reconnect if the Wi-Fi gets disconnected."
T014527,,Technical issue with machine,"Hello Team, We are currently experiencing an issue with the punch-out function on one of our machines. Could you please look into this matter and provide assistance to resolve it?",Cient sending device video.,Verified Rma for RMA000219
T014527,,Technical issue with machine,"Hello Team, We are currently experiencing an issue with the punch-out function on one of our machines. Could you please look into this matter and provide assistance to resolve it?",Cient sending device video.,Verified Rma for RMA000219
