"ticket_no","name","ticket_title","description_plain","comments","solution"
T008570,iApp,TKT025801,The leave balance was not showing correctly while applying for the leave.,Assign to ketul.,Two employees found in this ticket.First employee has balance issue(locatin transfer) and we resolved this issue.Also provided query to update locationid and leaveid in lvdetails and lvtran table.So it is resolved.For second employee no issue found policy change event is found in audit log and accrual is also done.
T008570,iApp,TKT025801,The leave balance was not showing correctly while applying for the leave.,Case checked and forwarded to product team,Two employees found in this ticket.First employee has balance issue(locatin transfer) and we resolved this issue.Also provided query to update locationid and leaveid in lvdetails and lvtran table.So it is resolved.For second employee no issue found policy change event is found in audit log and accrual is also done.
T008570,iApp,TKT025801,The leave balance was not showing correctly while applying for the leave.,Pending from product team,Two employees found in this ticket.First employee has balance issue(locatin transfer) and we resolved this issue.Also provided query to update locationid and leaveid in lvdetails and lvtran table.So it is resolved.For second employee no issue found policy change event is found in audit log and accrual is also done.
T008570,iApp,TKT025801,The leave balance was not showing correctly while applying for the leave.,Two employees found in this ticket.First employee has balance issue(locatin transfer) and we resolved this issue.Also provided query to update locationid and leaveid in lvdetails and lvtran table.So it is resolved.For second employee no issue found policy change event is found in audit log and accrual is also done.,Two employees found in this ticket.First employee has balance issue(locatin transfer) and we resolved this issue.Also provided query to update locationid and leaveid in lvdetails and lvtran table.So it is resolved.For second employee no issue found policy change event is found in audit log and accrual is also done.
T008571,ARSWin-Net, Add Employee in Year 2024-25 - Gallops Automotive Pvt. Ltd.,employees can’t add in the Current Year 2024-25. 1 . Jimin Patel (Bareja) :- 13001036 2. Bhavesh Parekh (Kuha) :- 13001062 3. Harshraj Chauhan (Kuha) :- 13001064 4. Keyur Makwana (Kuha) :- 13001065 5. Dishan Patel (Kuha) :- 13001066,Assign to ketul,"Employee Insert 2023-2024 to 2024-2025 Prosyear
And employee allocation date null and reallocation and log file read"
T008571,ARSWin-Net, Add Employee in Year 2024-25 - Gallops Automotive Pvt. Ltd.,employees can’t add in the Current Year 2024-25. 1 . Jimin Patel (Bareja) :- 13001036 2. Bhavesh Parekh (Kuha) :- 13001062 3. Harshraj Chauhan (Kuha) :- 13001064 4. Keyur Makwana (Kuha) :- 13001065 5. Dishan Patel (Kuha) :- 13001066,"Employee Insert 2023-2024 to 2024-2025 Prosyear
And employee allocation date null and reallocation and log file read","Employee Insert 2023-2024 to 2024-2025 Prosyear
And employee allocation date null and reallocation and log file read"
T008572,iApp,TKT025809,"we have noticed that employee master integration(SF to Spectra) is not uploading data from 14/Mar/2024 23:00 through the ""AD Integration"" tool.",Assign to ketul,Issue resolved in new release shared on 15th May.
T008572,iApp,TKT025809,"we have noticed that employee master integration(SF to Spectra) is not uploading data from 14/Mar/2024 23:00 through the ""AD Integration"" tool.","Issue temporary resolved.
Client need permeant solutions
",Issue resolved in new release shared on 15th May.
T008572,iApp,TKT025809,"we have noticed that employee master integration(SF to Spectra) is not uploading data from 14/Mar/2024 23:00 through the ""AD Integration"" tool.",Pending From Product Team,Issue resolved in new release shared on 15th May.
T008572,iApp,TKT025809,"we have noticed that employee master integration(SF to Spectra) is not uploading data from 14/Mar/2024 23:00 through the ""AD Integration"" tool.",Issue resolved in new release shared on 15th May.,Issue resolved in new release shared on 15th May.
T008573,iApp,Ten Days attendance report,Ten Days attendance report,Issue has been resolved ,Issue has been resolved 
T008574,iApp,HR Roles for IApp,Need to provide access of attendance module.,Issue has been resolved ,Issue has been resolved 
T008575,ARSWin-Net,Re-installation ,Re-installation of netxs control and arswin-net,Sow created send to dishita maam,we not receive any response from client side after sharing the charges for reinstallation so we close the ticket. 
T008575,ARSWin-Net,Re-installation ,Re-installation of netxs control and arswin-net,Sow created send to dishita maam,we not receive any response from client side after sharing the charges for reinstallation so we close the ticket. 
T008575,ARSWin-Net,Re-installation ,Re-installation of netxs control and arswin-net,we not receive any response from client side after sharing the charges for reinstallation so we close the ticket. ,we not receive any response from client side after sharing the charges for reinstallation so we close the ticket. 
T008576,iApp,TKT025894,"When we try to download Leave carry forward data of Male leave group, but report not getting from SPECTRA. Please do the needful. Screen shot attached for your reference.",Assign to ketul.,Issue resolved in new release shared on 15th May.
T008576,iApp,TKT025894,"When we try to download Leave carry forward data of Male leave group, but report not getting from SPECTRA. Please do the needful. Screen shot attached for your reference.",Case forwarded to product team,Issue resolved in new release shared on 15th May.
T008576,iApp,TKT025894,"When we try to download Leave carry forward data of Male leave group, but report not getting from SPECTRA. Please do the needful. Screen shot attached for your reference.",Pending from product team,Issue resolved in new release shared on 15th May.
T008576,iApp,TKT025894,"When we try to download Leave carry forward data of Male leave group, but report not getting from SPECTRA. Please do the needful. Screen shot attached for your reference.",Issue resolved in new release shared on 15th May.,Issue resolved in new release shared on 15th May.
T008577,ARSWin-Net,software reinstall ,ARS WINPRO ATTANDACE SOFTWER BACKUP DATA RESTORE,assign to milan ,"Took remote access from client's end

During today's remote session, we performed the following activities

    Took backup
    Restored backup
    Reinstalled software
    Downloaded all data
"
T008577,ARSWin-Net,software reinstall ,ARS WINPRO ATTANDACE SOFTWER BACKUP DATA RESTORE,Assigned to Darshit,"Took remote access from client's end

During today's remote session, we performed the following activities

    Took backup
    Restored backup
    Reinstalled software
    Downloaded all data
"
T008577,ARSWin-Net,software reinstall ,ARS WINPRO ATTANDACE SOFTWER BACKUP DATA RESTORE,Reassign to L1,"Took remote access from client's end

During today's remote session, we performed the following activities

    Took backup
    Restored backup
    Reinstalled software
    Downloaded all data
"
T008577,ARSWin-Net,software reinstall ,ARS WINPRO ATTANDACE SOFTWER BACKUP DATA RESTORE,"

During today's remote session, we performed the following activities

    Took backup
    Restored backup
    Reinstalled software
    Downloaded all data
","Took remote access from client's end

During today's remote session, we performed the following activities

    Took backup
    Restored backup
    Reinstalled software
    Downloaded all data
"
T008578,NetXsControl Ent.-100,punch not show in report ,punch not show in report,"
""Took remote access from the client's end and performed the following tasks:

Ran UDFreport DLL.
Opened software and ran as admin.
Ran OCX file.
The issue has been resolved.""","
""Took remote access from the client's end and performed the following tasks:

Ran UDFreport DLL.
Opened software and ran as admin.
Ran OCX file.
The issue has been resolved."""
T008579,iApp,Apply Remote Work,Please check the date mentioned is the email. It's application date and not the date of WFH.,Email content not proper.,Corrected email content in Email template.
T008580,iApp,Regarding recurrent Punching Issue,"I am facing the punch issue for last few months now. while punching name is flashed on machine with a long beep, indicating punch is done. but it does not reflect on attendance sheet.",Device Not in Netwrok,Device was not in network..
T008581,iApp,shift change option issue,"Again another employee unable to update shift change request in LMS, he unable to find option in LMS. 40020428","Earlier Shift Change option is showing in menu, also not allowing to apply for leave, not option for selecting for leave Type.",Issue is resolved
T008581,iApp,shift change option issue,"Again another employee unable to update shift change request in LMS, he unable to find option in LMS. 40020428",Issue is resolved,Issue is resolved
T008582,iApp,TKT025918 ,Leave carry forward to all is not working. its working if we do by selecting 10 -10 persons but not working if we select all.,Assign to Ketul.,Issue resolved in new release shared on 15th May.
T008582,iApp,TKT025918 ,Leave carry forward to all is not working. its working if we do by selecting 10 -10 persons but not working if we select all.,Case Forwarded To Product Team,Issue resolved in new release shared on 15th May.
T008582,iApp,TKT025918 ,Leave carry forward to all is not working. its working if we do by selecting 10 -10 persons but not working if we select all.,Pending From Product Team,Issue resolved in new release shared on 15th May.
T008582,iApp,TKT025918 ,Leave carry forward to all is not working. its working if we do by selecting 10 -10 persons but not working if we select all.,Issue resolved in new release shared on 15th May.,Issue resolved in new release shared on 15th May.
T008583,iApp,TKT025923,"Approver code to be validated only if there’s a change, this change was already done and working & now I see the same problem coming again. Can you please check this in employee master integration. refer to vishal sir mail dated 09/Apr/2024 16:39.",Assign to Ketul.,Issue resolved in new release shared on 15th May.
T008583,iApp,TKT025923,"Approver code to be validated only if there’s a change, this change was already done and working & now I see the same problem coming again. Can you please check this in employee master integration. refer to vishal sir mail dated 09/Apr/2024 16:39.",Case Checked And Forwarded To Product Team,Issue resolved in new release shared on 15th May.
