"ticket_no","name","ticket_title","description_plain","comments","solution"
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","Hi Zeel,

Please find the attached data as requested.

","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",EDD,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",EDD,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",Delivery on Pkg 4.1.84.0,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",Assign to L2,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",New release shared on 31st Dec.2024.,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","Confirmation pending from sun team
","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","Hi Nitin,

We were facing an issue with assigning global access, but with the assistance of the QC team, the global access issue has been resolved. However, the user is still unable to punch in at the machine.

To address this, we reassigned the card rights to the user, granted global access, and successfully executed the necessary command on the machine.

Please find the firmware details and the error video attached for your reference.

Please review the issue and provide a resolution at your earliest convenience.","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","
The issue is card not write properly
Please write that card again.","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",Assign to L2,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","Hi Nitin,
We already checked after rewrite the card but same issue.","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",Write Card Issue(As discuss with nitin he will connect tomorrow),"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764","Assign back to Nitin
We checked case with site HR and also rewrite  card but still same issue.","As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
T020352,iApp,TKT038853,"A new employee has been granted access to our Makarpura site; however, when attempting to punch in, the machine displays an ""Authorization Failed"" message. Please investigate this issue. Name - Jignesh Patel SAP ID - 392764",re write card again ,"As per today’s meeting, we updated the latest shared firmware.

After the update, we checked Mr. Jignesh Patel’s punch data and encountered the error: **EmpID Int.Fail - Card Not Properly Read in iApp**.

To resolve this, we surrendered Mr. Jignesh Patel’s card and assigned a new one. After this change, Mr. Patel was able to successfully punch in on the machine.

We then surrendered the newly assigned card, reassigned the old card to Mr. Patel, and re-read the card in iApp. Once access was granted, Mr. Patel was able to punch in with his old card as well.

There is no issue with the card or software; the issue occurred because the card was not properly read."
